DEPTH,GR,NPHI,RHOB,RT,DT
2610.7644,38.1,,,0.39,
2610.9168,40.34,,,0.4,
2611.0692000000004,41.91,,,0.39,
2611.2216000000003,43.03,,,0.37,
2611.3740000000003,44.52,,,0.36,
2611.5264,43.51,,,0.4,
2611.6788,44.1,,,0.4,
2611.8312,42.81,,,0.4,
2611.9836,40.57,,,0.36,
2612.136,38.85,,,0.36,
2612.2884000000004,37.73,,,0.35,
2612.4408000000003,39.22,,,0.35,
2612.5932000000003,41.66,,,0.39,
2612.7456,43.26,,,0.38,
2612.898,41.58,,,0.41,
2613.0504,41.49,,,0.33,
2613.2028,40.09,,,0.32,
2613.3552,41.13,,,0.32,
2613.5076000000004,39.53,,,0.3,
2613.6600000000003,41.58,,,0.35,
2613.8124000000003,43.99,,,0.37,
2613.9648,46.71,,,0.38,
2614.1172,44.18,,,0.32,
2614.2696,44.3,,,0.34,
2614.422,41.13,,,0.31,
2614.5744,42.53,,,0.32,
2614.7268000000004,40.37,,,0.36,
2614.8792000000003,44.18,,,0.34,
2615.0316000000003,43.06,,,0.31,
2615.184,43.06,,,0.32,
2615.3364,40.73,,,0.33,
2615.4888,40.45,,,0.3,
2615.6412,41.21,,,0.35,
2615.7936,42.98,,,0.37,
2615.9460000000004,43.26,,,0.42,
2616.0984000000003,43.15,,,0.37,
2616.2508000000003,42.39,,,0.31,
2616.4032,42.95,,,0.3,
2616.5556,41.46,,,0.29,
2616.708,39.13,,,0.3,
2616.8604,39.5,,,0.32,
2617.0128,38.94,,,0.33,
2617.1652000000004,41.1,,,0.33,
2617.3176000000003,39.41,,,0.3,
2617.4700000000003,40.93,,,0.3,
2617.6224,39.53,,,0.3,
2617.7748,37.84,,,0.41,
2617.9272,35.29,,,0.32,
2618.0796,36.41,,,0.31,
2618.232,39.86,,,0.32,
2618.3844000000004,41.18,,,0.39,
2618.5368000000003,41.94,,,0.34,
2618.6892000000003,41.21,,,0.37,
2618.8416,40.0,,,0.38,
2618.994,38.6,,,0.41,
2619.1464,38.4,,,0.36,
2619.2988,40.73,,,0.34,
2619.4512,39.61,,,0.38,
2619.6036000000004,39.89,,,0.39,
2619.7560000000003,39.61,,,0.39,
2619.9084000000003,41.38,,,0.4,
2620.0608,42.14,,,0.33,
2620.2132,42.05,,,0.32,
2620.3656,41.97,,,0.3,
2620.518,43.26,,,0.28,
2620.6704,42.14,,,0.35,
2620.8228000000004,43.15,,,0.38,
2620.9752000000003,42.42,,,0.36,
2621.1276000000003,44.74,,,0.34,
2621.28,41.66,,,0.29,
2621.4324,41.18,,,0.36,
2621.5848,39.58,,,0.38,
2621.7372,40.79,,,0.36,
2621.8896,39.39,,,0.35,
2622.0420000000004,38.1,,,0.4,
2622.1944000000003,37.65,,,0.37,
2622.3468000000003,37.0,,,0.35,
2622.4992,40.45,,,0.36,
2622.6516,41.49,,,0.39,
2622.804,43.93,,,0.34,
2622.9564,42.64,,,0.36,
2623.1088,42.81,,,0.41,
2623.2612000000004,41.49,,,0.32,
2623.4136000000003,40.17,,,0.35,
2623.5660000000003,41.01,,,0.34,
2623.7184,42.7,,,0.33,
2623.8708,44.74,,,0.34,
2624.0232,43.82,,,0.33,
2624.1756,41.74,,,0.36,
2624.328,39.98,,,0.33,
2624.4804000000004,37.17,,,0.35,
2624.6328000000003,36.53,,,0.35,
2624.7852000000003,35.12,,,0.32,
2624.9376,36.44,,,0.31,
2625.09,35.52,,,0.4,
2625.2424,38.8,,,0.42,
2625.3948,38.4,,,0.39,
2625.5472,39.81,,,0.35,
2625.6996000000004,39.5,,,0.33,
2625.8520000000003,41.29,,,0.33,
2626.0044000000003,41.86,,,0.36,
2626.1568,41.32,,,0.38,
2626.3092,41.69,,,0.35,
2626.4616,41.69,,,0.37,
2626.614,40.45,,,0.33,
2626.7664,40.09,,,0.37,
2626.9188000000004,41.01,,,0.37,
2627.0712000000003,40.45,,,0.4,
2627.2236000000003,38.57,,,0.38,
2627.376,35.85,,,0.33,
2627.5284,36.89,,,0.31,
2627.6808,37.37,,,0.36,
2627.8332,38.88,,,0.38,
2627.9856,38.97,,,0.38,
2628.1380000000004,43.34,,,0.34,
2628.2904000000003,44.1,,,0.32,
2628.4428000000003,43.54,,,0.27,
2628.5952,39.81,,,0.3,
2628.7476,39.25,,,0.35,
2628.9,39.72,,,0.34,
2629.0524,39.72,,,0.34,
2629.2048,38.4,,,0.33,
2629.3572000000004,37.2,,,0.31,
2629.5096000000003,37.84,,,0.34,
2629.6620000000003,40.45,,,0.35,
2629.8144,42.5,,,0.38,
2629.9668,44.66,,,0.41,
2630.1192,44.1,,,0.39,
2630.2716,42.7,,,0.4,
2630.424,39.78,,,0.37,
2630.5764000000004,37.93,,,0.39,
2630.7288000000003,39.41,,,0.37,
2630.8812000000003,40.0,,,0.42,
2631.0336,39.41,,,0.39,
2631.186,39.5,,,0.37,
2631.3384,38.55,,,0.34,
2631.4908,40.99,,,0.33,
2631.6432,42.14,,,0.36,
2631.7956000000004,43.26,,,0.38,
2631.9480000000003,40.28,,,0.35,
2632.1004000000003,39.53,,,0.31,
2632.2528,39.81,,,0.31,
2632.4052,43.26,,,0.33,
