DEPTH,GR,NPHI,RHOB,RT,DT,PEF
242.7732,57.009,,,,,
242.9256,56.971,,,,,
243.078,56.266,,,,,
243.2304,54.928,,,,,
243.3828,53.589,,,,,
243.5352,52.693,,,,,
243.6876,53.271,,,,,
243.84,53.849,,,,,
243.9924,54.428,,,,,
244.1448,55.216,,,,,
244.2972,56.015,,,,,
244.4496,56.814,,,,,
244.602,57.544,,,,,
244.7544,58.24,,,,,
244.9068,58.936,,,,,
245.0592,59.062,,,,,
245.2116,58.294,,,,,
245.364,57.526,,,,,
245.5164,56.836,,,,,
245.6688,56.8,,,,,
245.8212,56.764,,,,,
245.9736,56.728,,,,,
246.126,56.151,,,,,
246.2784,55.46,,,,,
246.4308,54.77,,,,,
246.5832,57.012,,,,,
246.7356,61.693,,,,,
246.888,66.373,,,,,
247.0404,68.891,,,,,
247.1928,65.416,,,,,
247.3452,61.94,,,,,
247.4976,58.465,,,,,
247.65,59.152,,,,,
247.8024,59.906,,,,,
247.9548,60.659,,,,,
248.1072,60.394,,,,,
248.2596,59.698,,,,,
248.412,59.002,,,,,
248.5644,59.017,,,,,
248.7168,60.003,,,,,
248.8692,60.989,,,,,
249.0216,61.829,,,,,
249.174,61.791,,,,,
249.3264,61.752,,,,,
249.4788,61.714,,,,,
249.6312,61.691,,,,,
249.7836,61.672,,,,,
249.936,61.653,,,,,
250.0884,62.288,,,,,
250.2408,63.397,,,,,
250.3932,64.506,,,,,
250.5456,65.808,,,,,
250.698,67.559,,,,,
250.8504,69.311,,,,,
251.0028,71.057,,,,,
251.1552,72.448,,,,,
251.3076,73.84,,,,,
251.46,75.231,,,,,
251.6124,73.344,,,,,
251.7648,70.29,,,,,
251.9172,67.236,,,,,
252.0696,65.387,,,,,
252.222,64.971,,,,,
252.3744,64.556,,,,,
252.5268,63.771,,,,,
252.6792,61.258,,,,,
252.8316,58.745,,,,,
252.984,56.232,,,,,
253.1364,56.79,,,,,
253.2888,57.708,,,,,
253.4412,58.627,,,,,
253.5936,58.981,,,,,
253.746,58.981,,,,,
253.8984,58.981,,,,,
254.0508,62.43,,,,,
254.2032,72.779,,,,,
254.3556,83.127,,,,,
254.508,93.231,,,,,
254.6604,98.927,,,,,
254.8128,104.623,,,,,
254.9652,110.319,,,,,
255.1176,107.95,,,,,
255.27,103.195,,,,,
255.4224,98.439,,,,,
255.5748,91.445,,,,,
255.7272,82.128,,,,,
255.8796,72.811,,,,,
256.03200000000004,64.435,,,,,
256.18440000000004,59.603,,,,,
256.33680000000004,54.77,,,,,
256.48920000000004,49.937,,,,,
256.64160000000004,50.816,,,,,
256.79400000000004,52.131,,,,,
256.94640000000004,53.445,,,,,
257.09880000000004,54.158,,,,,
257.25120000000004,54.545,,,,,
257.40360000000004,54.931,,,,,
257.55600000000004,55.375,,,,,
257.70840000000004,55.916,,,,,
257.86080000000004,56.457,,,,,
258.01320000000004,56.955,,,,,
258.16560000000004,56.993,,,,,
258.31800000000004,57.032,,,,,
258.47040000000004,57.071,,,,,
258.62280000000004,56.601,,,,,
258.77520000000004,56.008,,,,,
258.92760000000004,55.415,,,,,
259.08000000000004,56.129,,,,,
259.23240000000004,58.027,,,,,
259.38480000000004,59.925,,,,,
259.53720000000004,61.607,,,,,
259.68960000000004,62.622,,,,,
259.84200000000004,63.637,,,,,
259.99440000000004,64.652,,,,,
260.14680000000004,63.013,,,,,
260.29920000000004,61.273,,,,,
260.45160000000004,59.534,,,,,
260.60400000000004,58.902,,,,,
260.75640000000004,58.786,,,,,
260.90880000000004,58.669,,,,,
261.06120000000004,57.948,,,,,
261.21360000000004,56.324,,,,,
261.36600000000004,54.701,,,,,
261.51840000000004,53.671,,,,,
261.67080000000004,56.97,,,,,
261.82320000000004,60.269,,,,,
261.97560000000004,63.568,,,,,
262.12800000000004,63.426,,,,,
262.28040000000004,62.628,,,,,
262.43280000000004,61.83,,,,,
262.58520000000004,60.988,,,,,
262.73760000000004,60.11,,,,,
262.89000000000004,59.233,,,,,
263.04240000000004,58.31,,,,,
263.19480000000004,57.266,,,,,
263.34720000000004,56.222,,,,,
263.49960000000004,55.176,,,,,
263.65200000000004,55.137,,,,,
263.80440000000004,55.098,,,,,
263.95680000000004,55.06,,,,,
264.10920000000004,58.089,,,,,
264.26160000000004,62.332,,,,,
264.41400000000004,66.575,,,,,
264.56640000000004,67.963,,,,,
264.71880000000004,65.653,,,,,
264.87120000000004,63.343,,,,,
265.02360000000004,61.582,,,,,
265.17600000000004,62.819,,,,,
265.32840000000004,64.057,,,,,
265.48080000000004,65.294,,,,,
265.6332,65.754,,,,,
265.7856,66.102,,,,,
265.938,66.449,,,,,
266.0904,65.788,,,,,
266.2428,64.435,,,,,
266.3952,63.082,,,,,
266.5476,62.031,,,,,
266.7,61.644,,,,,
266.8524,61.257,,,,,
267.0048,60.851,,,,,
267.1572,59.846,,,,,
267.3096,58.841,,,,,
267.462,57.836,,,,,
267.6144,58.079,,,,,
267.7668,58.736,,,,,
267.9192,59.393,,,,,
268.0716,60.341,,,,,
268.224,61.617,,,,,
268.3764,62.893,,,,,
268.5288,63.957,,,,,
268.6812,64.112,,,,,
268.8336,64.266,,,,,
268.986,64.421,,,,,
269.1384,64.703,,,,,
269.2908,64.998,,,,,
269.4432,65.292,,,,,
269.5956,65.993,,,,,
269.748,66.936,,,,,
269.9004,67.878,,,,,
270.0528,69.699,,,,,
270.2052,73.179,,,,,
270.3576,76.658,,,,,
270.51,79.802,,,,,
270.6624,78.179,,,,,
270.8148,76.555,,,,,
270.9672,74.931,,,,,
271.1196,76.311,,,,,
271.272,78.515,,,,,
271.4244,80.719,,,,,
271.5768,79.533,,,,,
271.7292,75.009,,,,,
271.8816,70.486,,,,,
272.034,66.282,,,,,
272.1864,63.189,,,,,
272.3388,60.096,,,,,
272.4912,57.003,,,,,
272.6436,59.083,,,,,
272.796,61.48,,,,,
272.9484,63.877,,,,,
273.1008,63.768,,,,,
273.2532,62.376,,,,,
273.4056,60.985,,,,,
273.558,60.652,,,,,
273.7104,62.044,,,,,
273.8628,63.436,,,,,
274.0152,65.152,,,,,
274.1676,69.791,,,,,
274.32,74.43,,,,,
274.4724,79.069,,,,,
274.6248,81.872,,,,,
274.7772,84.269,,,,,
274.9296,86.666,,,,,
275.082,85.111,,,,,
275.2344,80.162,,,,,
275.3868,75.214,,,,,
275.5392,71.001,,,,,
275.6916,68.913,,,,,
275.844,66.826,,,,,
275.9964,64.738,,,,,
276.1488,63.132,,,,,
276.3012,61.537,,,,,
276.4536,59.942,,,,,
276.606,58.952,,,,,
276.7584,58.227,,,,,
276.9108,57.502,,,,,
277.0632,57.703,,,,,
277.2156,59.211,,,,,
277.368,60.719,,,,,
277.5204,62.201,,,,,
277.6728,63.515,,,,,
277.8252,64.83,,,,,
277.9776,66.144,,,,,
278.13,70.608,,,,,
278.2824,75.615,,,,,
278.4348,80.621,,,,,
278.5872,89.521,,,,,
278.7396,101.332,,,,,
278.892,113.143,,,,,
279.0444,120.86,,,,,
279.1968,118.617,,,,,
279.3492,116.375,,,,,
279.5016,114.132,,,,,
279.654,111.812,,,,,
279.8064,109.493,,,,,
279.9588,107.173,,,,,
280.1112,102.597,,,,,
280.2636,97.184,,,,,
280.416,91.771,,,,,
280.5684,88.322,,,,,
280.7208,87.283,,,,,
280.8732,86.244,,,,,
281.0256,85.684,,,,,
281.178,87.496,,,,,
281.3304,89.308,,,,,
281.4828,91.12,,,,,
281.6352,96.984,,,,,
281.7876,103.363,,,,,
281.94,109.742,,,,,
282.0924,114.012,,,,,
282.2448,116.911,,,,,
282.3972,119.811,,,,,
282.5496,121.814,,,,,
282.702,121.959,,,,,
282.8544,122.104,,,,,
283.0068,122.43,,,,,
283.1592,126.635,,,,,
283.3116,130.839,,,,,
283.464,135.043,,,,,
283.6164,133.955,,,,,
283.7688,131.229,,,,,
283.9212,128.503,,,,,
284.0736,125.862,,,,,
284.226,123.31,,,,,
284.3784,120.759,,,,,
284.5308,117.52,,,,,
284.6832,111.565,,,,,
284.8356,105.612,,,,,
284.988,99.658,,,,,
285.1404,97.693,,,,,
285.2928,96.069,,,,,
285.4452,94.446,,,,,
285.5976,92.747,,,,,
285.75,91.008,,,,,
285.9024,89.268,,,,,
286.0548,86.889,,,,,
286.2072,83.371,,,,,
286.3596,79.853,,,,,
286.512,76.143,,,,,
286.6644,70.189,,,,,
286.8168,64.235,,,,,
286.9692,58.281,,,,,
287.1216,57.136,,,,,
287.274,57.208,,,,,
287.4264,57.281,,,,,
287.5788,57.353,,,,,
287.7312,57.426,,,,,
287.8836,57.498,,,,,
288.036,58.341,,,,,
288.1884,61.676,,,,,
288.3408,65.011,,,,,
288.4932,68.345,,,,,
288.6456,68.494,,,,,
288.798,68.494,,,,,
288.9504,68.494,,,,,
289.1028,68.298,,,,,
289.2552,68.008,,,,,
289.4076,67.718,,,,,
289.56,67.429,,,,,
289.7124,67.139,,,,,
289.8648,66.849,,,,,
290.0172,66.559,,,,,
290.1696,66.269,,,,,
290.322,65.979,,,,,
290.4744,65.689,,,,,
290.6268,65.399,,,,,
290.7792,65.109,,,,,
290.9316,64.819,,,,,
291.084,64.529,,,,,
291.2364,64.239,,,,,
291.3888,63.949,,,,,
291.5412,63.659,,,,,
291.6936,63.369,,,,,
291.846,63.079,,,,,
291.9984,62.789,,,,,
292.1508,62.499,,,,,
292.3032,62.209,,,,,
292.4556,61.919,,,,,
292.608,61.63,,,,,
292.7604,61.34,,,,,
292.9128,61.049,,,,,
293.0652,60.76,,,,,
293.2176,60.47,,,,,
293.37,60.18,,,,,
293.5224,59.89,,,,,
293.6748,59.6,,,,,
293.8272,59.31,,,,,
293.9796,59.02,,,,,
294.132,58.73,,,,,
294.2844,58.44,,,,,
294.4368,58.15,,,,,
294.5892,57.86,,,,,
294.7416,57.57,,,,,
294.894,57.28,,,,,
295.0464,56.99,,,,,
295.1988,56.7,,,,,
295.3512,56.41,,,,,
295.5036,56.12,,,,,
295.656,55.83,,,,,
295.8084,55.54,,,,,
295.9608,55.25,,,,,
296.1132,54.96,,,,,
296.2656,54.671,,,,,
296.418,54.381,,,,,
296.5704,54.091,,,,,
296.7228,53.801,,,,,
296.8752,53.511,,,,,
297.0276,53.221,,,,,
297.18,52.931,,,,,
297.3324,52.641,,,,,
297.4848,52.351,,,,,
297.6372,52.061,,,,,
297.7896,51.771,,,,,
297.942,51.481,,,,,
298.0944,51.191,,,,,
298.2468,50.901,,,,,
298.3992,50.611,,,,,
298.5516,50.321,,,,,
298.704,50.031,,,,,
298.8564,49.741,,,,,
299.0088,49.451,,,,,
