Depth,Lithology_values,Lithology
2807,,unknown
2808,,unknown
2809,,unknown
2810,,unknown
2811,,unknown
2812,,unknown
2813,,unknown
2814,,unknown
2815,,unknown
2816,,unknown
2817,,unknown
2818,,unknown
2819,,unknown
2820,600.39,clay-shale
2821,,unknown
2822,,unknown
2823,,unknown
2824,,unknown
2825,,unknown
2826,,unknown
2827,,unknown
2828,,unknown
2829,,unknown
2830,,unknown
2831,,unknown
2832,,unknown
2833,,unknown
2834,,unknown
2835,,unknown
2836,,unknown
2837,,unknown
2838,,unknown
2839,,unknown
2840,600.39,clay-shale
2841,,unknown
2842,600.39,clay-shale
2843,,unknown
2844,,unknown
2845,,unknown
2846,,unknown
2847,,unknown
2848,,unknown
2849,,unknown
2850,,unknown
2851,,unknown
2852,,unknown
2853,,unknown
2854,,unknown
2855,,unknown
2856,,unknown
2857,,unknown
2858,,unknown
2859,,unknown
2860,600.39,clay-shale
2861,,unknown
2862,,unknown
2863,,unknown
2864,,unknown
2865,,unknown
2866,,unknown
2867,,unknown
2868,,unknown
2869,,unknown
2870,,unknown
2871,,unknown
2872,,unknown
2873,,unknown
2874,,unknown
2875,,unknown
2876,,unknown
2877,,unknown
2878,,unknown
2879,,unknown
2880,600.39,clay-shale
2881,,unknown
2882,,unknown
2883,,unknown
2884,,unknown
2885,,unknown
2886,,unknown
2887,,unknown
2888,,unknown
2889,,unknown
2890,,unknown
2891,,unknown
2892,,unknown
2893,,unknown
2894,,unknown
2895,,unknown
2896,,unknown
2897,,unknown
2898,,unknown
2899,600.39,clay-shale
2900,780,limestone
2901,780,limestone
2902,780,limestone
2903,780,limestone
2904,780,limestone
2905,780,limestone
2906,780,limestone
2907,780,limestone
2908,780,limestone
2909,780,limestone
2910,780,limestone
2911,780,limestone
2912,780,limestone
2913,780,limestone
2914,780,limestone
2915,780,limestone
2916,780,limestone
2917,780,limestone
2918,780,limestone
2919,780,limestone
2920,780,limestone
2921,,unknown
2922,,unknown
2923,,unknown
2924,,unknown
2925,,unknown
2926,,unknown
2927,780,limestone
2928,,unknown
2929,,unknown
2930,,unknown
2931,700,limestone
2932,,unknown
2933,,unknown
2934,,unknown
2935,,unknown
2936,700,limestone
2937,,unknown
2938,,unknown
2939,,unknown
2940,700,limestone
2941,700,limestone
2942,700,limestone
2943,700,limestone
2944,700,limestone
2945,700,limestone
2946,700,limestone
2947,700,limestone
2948,700,limestone
