Depth,Lithology_values,Lithology
2823,3010,unknown
2824,3010,unknown
2825,3010,unknown
2826,3010,unknown
2827,3010,unknown
2828,3010,unknown
2829,3010,unknown
2830,3010,unknown
2831,3010,unknown
2832,3010,unknown
2833,3010,unknown
2834,3010,unknown
2835,3010,unknown
2836,3010,unknown
